Number,Name,2004,2005,2006,2007,2008,2009,2010,2011,Rank,"Number of occurrences per 10,000 residents in 2011",
86,Roncesvalles,141,112,129,157,119,106,110,75,40,49.9,
87,High Park-Swansea,159,93,112,85,109,98,64,59,111,27.1,
88,High Park North,115,131,89,95,99,104,93,106,41,49.8,
89,Runnymede-Bloor West Village,94,70,84,67,44,59,39,42,54,43.6,
90,Junction Area,131,141,114,78,90,77,78,57,62,40.7,
91,Weston-Pellam Park,101,50,64,77,87,56,57,44,76,36.6,
92,Corsa Italia-Davenport,112,77,97,76,47,47,77,50,78,36.4,
93,Dovercourt-Wallace Emerson-Juncti,266,244,307,210,208,156,137,162,47,46.7,
94,Wychwood,81,78,104,86,44,63,64,58,60,41.5,
95,Annex,427,425,311,356,267,289,221,155,31,53.2,
96,Casa Loma,91,79,86,81,112,60,75,41,68,39.1,
97,Yonge-St.Clair,106,72,82,98,67,79,58,62,32,53.1,
98,Rosedale-Moore Park,266,163,175,181,212,119,89,82,67,39.7,
99,Mount Pleasant East,90,90,91,63,70,65,66,52,95,32.6,
100,Yonge-Eglinton,77,68,50,44,48,39,91,60,22,56.7,
101,Forest Hill South,56,82,72,49,96,59,48,58,33,53,
102,Forest Hill North,58,32,44,56,40,35,34,57,50,45.7,
103,Lawrence Park South,98,71,60,63,86,73,82,109,3,72.4,
104,Mount Pleasant West,157,131,184,123,100,73,69,93,96,32.5,
105,Lawrence Park North,94,77,66,63,70,56,35,56,70,38.5,
106,Humewood-Cedarvale,62,40,53,65,40,54,60,26,136,18.4,
107,Oakwood-Vaughan,93,71,82,92,83,65,72,56,115,26.6,
108,Briar Hill-Belgravia,89,90,84,72,52,56,43,36,121,25.3,
109,Caledonia-Fairbanks,57,50,49,45,32,25,35,28,108,28.4,
110,Keelesdale-Eglinton West,82,88,85,60,46,35,72,58,27,54.4,
111,Rockcliffe-Smythe,140,104,87,86,87,67,72,68,103,30.5,
112,Beechborough-Greenbrook,31,32,33,31,45,17,18,26,65,40.1,
113,Weston,106,127,123,100,116,69,62,45,123,24.8,
114,Lambton Baby Point,38,24,29,25,26,23,26,20,120,25.3,
115,Mount Dennis,47,52,56,28,43,30,38,53,63,40.3,
116,Steeles,82,78,94,52,50,78,88,82,90,32.7,
117,L'Amoreaux,144,198,173,174,136,194,142,112,122,24.9,
118,Tam O'Shanter-Sullivan,92,139,159,111,83,96,94,81,105,29.6,
119,Wexford/Maryvale,234,226,196,202,169,141,133,132,43,48.8,
120,Clairlea-Birchmount,165,188,150,181,172,171,144,116,46,46.9,
121,Oakridge,150,81,81,104,106,95,83,91,9,67.4,
122,Birchcliffe-Cliffside,132,151,148,210,128,123,117,105,44,48.1,
123,Cliffcrest,110,135,102,95,69,75,84,44,109,28,
124,Kennedy Park,97,136,92,109,66,65,70,78,51,45.7,
125,Ionview,57,64,44,42,45,39,51,32,125,24.5,
126,Dorset Park,192,150,116,147,184,86,88,88,79,36.1,
127,Bendale,176,95,79,127,147,101,133,93,89,33.4,
128,Agincourt South-Malvern West,157,133,129,96,99,57,73,110,39,50.1,
129,Agincourt North,94,138,234,102,71,78,91,105,85,34.7,
130,Milliken,183,158,190,155,129,84,97,124,49,45.7,
131,Rouge,124,123,156,189,146,131,130,134,106,29.2,
132,Malvern,141,149,200,120,171,73,103,118,119,26.2,
133,Centennial Scarborough,46,57,57,46,9,20,28,27,134,20.6,
134,Highland Creek,69,35,39,28,52,47,48,80,18,61.1,
135,Morningside,95,70,58,64,96,68,75,47,114,26.7,
136,West Hill,140,181,163,150,131,131,131,102,72,38.4,
137,Woburn,329,222,200,178,207,190,203,128,127,24,
138,Eglinton East,170,182,160,105,107,99,107,88,71,38.5,
139,Scarborough Village,113,91,86,105,74,79,85,93,24,56.1,
140,Guildwood,55,59,39,31,44,21,37,32,92,32.7,
