Number,Name,Average,2004,2005,2006,2007,2008,2009,2010,2011,Percent Change between 2010 and 2011,Rank,"Number of occurrences per 10,000 residents in 2011",
127,Bendale,,0,0,0,1,0,1,1,0,-100.00%,132,0,
128,Agincourt South-Malvern West,,0,0,0,1,1,0,1,0,-100.00%,133,0,
129,Agincourt North,,1,1,0,1,0,0,0,0,N/A,134,0,
130,Milliken,,0,0,0,0,0,0,0,0,N/A,135,0,
131,Rouge,,2,0,3,6,3,1,0,0,N/A,136,0,
132,Malvern,,2,0,3,3,3,0,1,2,100.00%,28,0.4,
133,Centennial Scarborough,,1,0,0,0,0,0,0,0,N/A,137,0,
134,Highland Creek,,1,0,1,0,0,0,0,0,N/A,138,0,
135,Morningside,,0,0,1,2,4,0,1,0,-100.00%,139,0,
136,West Hill,,0,2,0,1,0,0,1,1,0.00%,32,0.4,
137,Woburn,,3,0,2,2,1,0,2,3,50.00%,22,0.6,
138,Eglinton East,,0,0,0,1,2,1,1,1,0.00%,29,0.4,
139,Scarborough Village,,0,1,1,0,3,0,0,1,N/A,20,0.6,
140,Guildwood,,0,0,0,0,0,0,0,0,N/A,140,0,
,,,,,,,,,,,,Rank,,
